Timestamp	Value	Min	Max	Avg	StartTimestamp
2014/04/01-06:44:36	0	-1	-1	-1	2014/04/01-06:44:36
2014/04/01-06:44:54	3	3	3	3	2014/04/01-06:44:36
2014/04/01-06:45:05	29	29	29	14	2014/04/01-06:44:36
2014/04/01-06:45:15	35	35	35	11	2014/04/01-06:44:36
2014/04/01-06:45:20	42	42	42	10	2014/04/01-06:44:36
2014/04/01-06:46:03	0	-1	-1	-1	2014/04/01-06:46:03
2014/04/01-06:46:22	59	59	59	59	2014/04/01-06:46:03
2014/04/01-06:46:32	506	506	506	253	2014/04/01-06:46:03
2014/04/01-06:46:42	948	948	948	316	2014/04/01-06:46:03
2014/04/01-06:47:16	0	-1	-1	-1	2014/04/01-06:47:16
2014/04/01-06:47:31	11	11	11	11	2014/04/01-06:47:16
2014/04/01-06:47:45	241	241	241	120	2014/04/01-06:47:16
2014/04/01-06:47:55	685	685	685	228	2014/04/01-06:47:16
2014/04/01-06:52:05	0	-1	-1	-1	2014/04/01-06:52:05
2014/04/01-06:52:05	0	-1	-1	-1	2014/04/01-06:52:05
2014/04/01-06:52:32	4	4	4	2	2014/04/01-06:52:05
2014/04/01-06:52:43	22	22	22	7	2014/04/01-06:52:05
2014/04/01-06:52:45	27	27	27	6	2014/04/01-06:52:05
2014/04/01-06:53:03	41	41	41	8	2014/04/01-06:52:05
2014/04/01-06:53:46	0	-1	-1	-1	2014/04/01-06:53:46
2014/04/01-06:54:05	39	39	39	39	2014/04/01-06:53:46
2014/04/01-06:54:15	85	85	85	42	2014/04/01-06:53:46
2014/04/01-06:56:46	0	-1	-1	-1	2014/04/01-06:56:46
2014/04/01-06:57:01	9	9	9	9	2014/04/01-06:56:46
2014/04/01-06:57:31	0	-1	-1	-1	2014/04/01-06:57:31
2014/04/01-06:58:02	0	-1	-1	-1	2014/04/01-06:58:02
2014/04/01-06:58:22	1079	1079	1079	1079	2014/04/01-06:58:02
2014/04/01-06:58:32	3853	3853	3853	1926	2014/04/01-06:58:02
2014/04/01-06:58:42	6701	6701	6701	2233	2014/04/01-06:58:02
2014/04/01-06:58:52	9500	9500	9500	2375	2014/04/01-06:58:02
2014/04/01-06:59:02	12369	12369	12369	2473	2014/04/01-06:58:02
2014/04/01-06:59:12	14903	14903	14903	2483	2014/04/01-06:58:02
2014/04/01-06:59:22	17791	17791	17791	2541	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	2572	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	2286	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	2057	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	1870	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	1714	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	1583	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	1469	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	1371	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	1286	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	1210	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	1143	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	1083	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	1028	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	979	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	935	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	894	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	857	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	823	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	791	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	762	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	734	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	709	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	685	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	663	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	643	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	623	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	605	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	587	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	571	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	556	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	541	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	527	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	514	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	501	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	489	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	478	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	467	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	457	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	447	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	437	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	428	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	419	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	411	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	403	2014/04/01-06:58:02
2014/04/01-06:59:32	20579	20579	20579	395	2014/04/01-06:58:02
