Timestamp	Status	StartTimestamp
2014/04/01-06:44:45	0	2014/04/01-06:44:36
2014/04/01-06:44:55	1	2014/04/01-06:44:36
2014/04/01-06:45:05	12	2014/04/01-06:44:36
2014/04/01-06:45:15	11	2014/04/01-06:44:36
2014/04/01-06:45:25	10	2014/04/01-06:44:36
2014/04/01-06:46:12	0	2014/04/01-06:46:03
2014/04/01-06:46:22	57	2014/04/01-06:46:03
2014/04/01-06:46:32	502	2014/04/01-06:46:03
2014/04/01-06:46:42	946	2014/04/01-06:46:03
2014/04/01-06:47:25	0	2014/04/01-06:47:16
2014/04/01-06:47:35	4	2014/04/01-06:47:16
2014/04/01-06:47:45	233	2014/04/01-06:47:16
2014/04/01-06:47:55	678	2014/04/01-06:47:16
2014/04/01-06:52:13	0	2014/04/01-06:52:05
2014/04/01-06:52:23	0	2014/04/01-06:52:05
2014/04/01-06:52:33	2	2014/04/01-06:52:05
2014/04/01-06:52:43	11	2014/04/01-06:52:05
2014/04/01-06:52:53	7	2014/04/01-06:52:05
2014/04/01-06:53:03	21	2014/04/01-06:52:05
2014/04/01-06:53:55	0	2014/04/01-06:53:46
2014/04/01-06:54:05	32	2014/04/01-06:53:46
2014/04/01-06:54:15	78	2014/04/01-06:53:46
2014/04/01-06:56:56	0	2014/04/01-06:56:46
2014/04/01-06:57:06	3	2014/04/01-06:56:46
2014/04/01-06:57:40	0	2014/04/01-06:57:31
2014/04/01-06:58:12	0	2014/04/01-06:58:02
2014/04/01-06:58:22	1067	2014/04/01-06:58:02
2014/04/01-06:58:32	3843	2014/04/01-06:58:02
2014/04/01-06:58:42	6699	2014/04/01-06:58:02
2014/04/01-06:58:52	9498	2014/04/01-06:58:02
2014/04/01-06:59:02	12367	2014/04/01-06:58:02
2014/04/01-06:59:12	14895	2014/04/01-06:58:02
2014/04/01-06:59:22	17786	2014/04/01-06:58:02
2014/04/01-06:59:32	20577	2014/04/01-06:58:02
2014/04/01-06:59:42	20577	2014/04/01-06:58:02
2014/04/01-06:59:52	20577	2014/04/01-06:58:02
2014/04/01-07:00:02	20577	2014/04/01-06:58:02
2014/04/01-07:00:12	20577	2014/04/01-06:58:02
2014/04/01-07:00:22	20577	2014/04/01-06:58:02
2014/04/01-07:00:32	20577	2014/04/01-06:58:02
2014/04/01-07:00:42	20577	2014/04/01-06:58:02
2014/04/01-07:00:52	20577	2014/04/01-06:58:02
2014/04/01-07:01:02	20577	2014/04/01-06:58:02
