Timestamp	Value	Min	Max	Avg	StartTimestamp
2014/04/01-06:44:45	0	0	0	0	2014/04/01-06:44:36
2014/04/01-06:44:55	0	0	0	0	2014/04/01-06:44:36
2014/04/01-06:45:05	14	14	14	7	2014/04/01-06:44:36
2014/04/01-06:45:15	21	21	21	7	2014/04/01-06:44:36
2014/04/01-06:45:25	29	29	29	7	2014/04/01-06:44:36
2014/04/01-06:46:12	0	0	0	0	2014/04/01-06:46:03
2014/04/01-06:46:22	0	0	0	0	2014/04/01-06:46:03
2014/04/01-06:46:32	0	0	0	0	2014/04/01-06:46:03
2014/04/01-06:46:42	0	0	0	0	2014/04/01-06:46:03
2014/04/01-06:47:25	0	0	0	0	2014/04/01-06:47:16
2014/04/01-06:47:35	4	4	4	4	2014/04/01-06:47:16
2014/04/01-06:47:45	4	4	4	2	2014/04/01-06:47:16
2014/04/01-06:47:55	4	4	4	1	2014/04/01-06:47:16
2014/04/01-06:52:13	0	0	0	0	2014/04/01-06:52:05
2014/04/01-06:52:23	0	0	0	0	2014/04/01-06:52:05
2014/04/01-06:52:33	0	0	0	0	2014/04/01-06:52:05
2014/04/01-06:52:43	8	8	8	2	2014/04/01-06:52:05
2014/04/01-06:52:53	17	17	17	4	2014/04/01-06:52:05
2014/04/01-06:53:03	17	17	17	3	2014/04/01-06:52:05
2014/04/01-06:53:55	0	0	0	0	2014/04/01-06:53:46
2014/04/01-06:54:05	4	4	4	4	2014/04/01-06:53:46
2014/04/01-06:54:15	4	4	4	2	2014/04/01-06:53:46
2014/04/01-06:56:56	0	0	0	0	2014/04/01-06:56:46
2014/04/01-06:57:06	4	4	4	4	2014/04/01-06:56:46
2014/04/01-06:57:40	0	0	0	0	2014/04/01-06:57:31
2014/04/01-06:58:12	0	0	0	0	2014/04/01-06:58:02
2014/04/01-06:58:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-06:58:32	0	0	0	0	2014/04/01-06:58:02
2014/04/01-06:58:42	0	0	0	0	2014/04/01-06:58:02
2014/04/01-06:58:52	0	0	0	0	2014/04/01-06:58:02
2014/04/01-06:59:02	0	0	0	0	2014/04/01-06:58:02
2014/04/01-06:59:12	0	0	0	0	2014/04/01-06:58:02
2014/04/01-06:59:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-06:59:32	0	0	0	0	2014/04/01-06:58:02
2014/04/01-06:59:42	0	0	0	0	2014/04/01-06:58:02
2014/04/01-06:59:52	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:00:02	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:00:12	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:00:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:00:32	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:00:42	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:00:52	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:01:02	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:01:12	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:01:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:01:32	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:01:42	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:01:52	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:02:02	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:02:12	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:02:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:02:32	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:02:42	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:02:52	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:03:02	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:03:12	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:03:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:03:32	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:03:42	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:03:52	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:04:02	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:04:12	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:04:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:04:32	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:04:42	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:04:52	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:05:02	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:05:12	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:05:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:05:32	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:05:42	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:05:52	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:06:02	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:06:12	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:06:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:06:32	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:06:47	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:07:03	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:07:24	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:07:40	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:07:42	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:07:52	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:08:02	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:08:12	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:08:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:08:32	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:08:42	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:08:53	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:09:02	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:09:12	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:09:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:09:32	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:09:42	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:09:52	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:10:02	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:10:12	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:10:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:10:32	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:10:42	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:10:52	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:11:02	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:11:13	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:11:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:11:32	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:11:42	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:11:53	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:12:02	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:12:12	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:12:34	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:12:52	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:13:14	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:13:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:13:32	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:13:42	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:13:52	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:14:15	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:14:34	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:14:55	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:15:03	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:15:24	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:15:43	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:16:04	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:16:12	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:16:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:16:32	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:16:42	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:16:52	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:17:02	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:17:12	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:17:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:17:32	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:17:43	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:17:52	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:18:02	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:18:12	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:18:23	1143	1143	1143	9	2014/04/01-06:58:02
2014/04/01-07:18:33	3932	3932	3932	31	2014/04/01-06:58:02
2014/04/01-07:18:43	6797	6797	6797	54	2014/04/01-06:58:02
2014/04/01-07:18:53	9601	9601	9601	76	2014/04/01-06:58:02
2014/04/01-07:19:03	12460	12460	12460	98	2014/04/01-06:58:02
2014/04/01-07:19:13	15001	15001	15001	118	2014/04/01-06:58:02
2014/04/01-07:19:23	17881	17881	17881	139	2014/04/01-06:58:02
2014/04/01-07:19:33	20571	20571	20571	159	2014/04/01-06:58:02
2014/04/01-07:19:43	20571	20571	20571	158	2014/04/01-06:58:02
2014/04/01-07:19:53	20571	20571	20571	157	2014/04/01-06:58:02
2014/04/01-07:20:03	20571	20571	20571	155	2014/04/01-06:58:02
2014/04/01-07:20:13	20571	20571	20571	154	2014/04/01-06:58:02
2014/04/01-07:20:23	20571	20571	20571	153	2014/04/01-06:58:02
2014/04/01-07:21:55	0	0	0	0	2014/04/01-07:21:46
2014/04/01-07:22:05	0	0	0	0	2014/04/01-07:21:46
2014/04/01-07:22:15	4	4	4	2	2014/04/01-07:21:46
2014/04/01-07:22:25	4	4	4	1	2014/04/01-07:21:46
2014/04/01-07:26:37	0	0	0	0	2014/04/01-07:26:27
2014/04/01-07:26:47	0	0	0	0	2014/04/01-07:26:27
2014/04/01-07:26:57	0	0	0	0	2014/04/01-07:26:27
2014/04/01-07:27:07	0	0	0	0	2014/04/01-07:26:27
2014/04/01-07:27:17	0	0	0	0	2014/04/01-07:26:27
2014/04/01-07:28:27	0	0	0	0	2014/04/01-07:28:18
2014/04/01-07:28:37	0	0	0	0	2014/04/01-07:28:18
2014/04/01-07:28:47	4	4	4	2	2014/04/01-07:28:18
2014/04/01-07:28:57	4	4	4	1	2014/04/01-07:28:18
2014/04/01-07:29:28	0	0	0	0	2014/04/01-07:29:19
2014/04/01-07:29:38	4	4	4	4	2014/04/01-07:29:19
2014/04/01-07:29:48	8	8	8	4	2014/04/01-07:29:19
2014/04/01-07:29:58	8	8	8	2	2014/04/01-07:29:19
2014/04/01-07:30:08	8	8	8	2	2014/04/01-07:29:19
2014/04/01-07:30:18	8	8	8	1	2014/04/01-07:29:19
2014/04/01-07:30:28	8	8	8	1	2014/04/01-07:29:19
2014/04/01-07:30:38	8	8	8	1	2014/04/01-07:29:19
2014/04/01-07:30:48	8	8	8	1	2014/04/01-07:29:19
2014/04/01-07:30:58	8	8	8	0	2014/04/01-07:29:19
2014/04/01-07:31:08	8	8	8	0	2014/04/01-07:29:19
2014/04/01-07:45:01	0	0	0	0	2014/04/01-07:44:52
2014/04/01-07:45:11	0	0	0	0	2014/04/01-07:44:52
2014/04/01-07:45:21	0	0	0	0	2014/04/01-07:44:52
2014/04/01-07:45:31	0	0	0	0	2014/04/01-07:44:52
2014/04/01-07:45:41	0	0	0	0	2014/04/01-07:44:52
2014/04/01-07:55:45	0	0	0	0	2014/04/01-07:55:36
2014/04/01-07:55:55	0	0	0	0	2014/04/01-07:55:36
2014/04/01-07:56:29	0	0	0	0	2014/04/01-07:56:23
2014/04/01-07:56:40	0	0	0	0	2014/04/01-07:56:23
2014/04/01-07:58:20	0	0	0	0	2014/04/01-07:58:11
2014/04/01-07:58:53	0	0	0	0	2014/04/01-07:58:47
2014/04/01-07:59:04	0	0	0	0	2014/04/01-07:58:47
2014/04/01-08:53:23	0	0	0	0	2014/04/01-08:53:14
2014/04/01-08:53:33	0	0	0	0	2014/04/01-08:53:14
2014/04/01-08:53:43	0	0	0	0	2014/04/01-08:53:14
2014/04/01-08:53:53	0	0	0	0	2014/04/01-08:53:14
2014/04/01-08:54:03	0	0	0	0	2014/04/01-08:53:14
2014/04/01-08:54:46	0	-1	-1	-1	2014/04/01-08:54:45
2014/04/01-08:55:22	0	0	0	0	2014/04/01-08:55:16
2014/04/01-08:55:33	0	0	0	0	2014/04/01-08:55:16
2014/04/01-08:56:45	0	0	0	0	2014/04/01-08:56:35
2014/04/01-08:56:55	0	0	0	0	2014/04/01-08:56:35
2014/04/01-08:57:05	0	0	0	0	2014/04/01-08:56:35
2014/04/01-08:57:15	0	0	0	0	2014/04/01-08:56:35
2014/04/01-09:21:09	0	0	0	0	2014/04/01-09:20:59
2014/04/01-09:21:19	0	0	0	0	2014/04/01-09:20:59
2014/04/01-09:21:29	0	0	0	0	2014/04/01-09:20:59
2014/04/01-09:21:39	0	0	0	0	2014/04/01-09:20:59
2014/04/01-09:21:49	5	5	5	1	2014/04/01-09:20:59
2014/04/01-09:21:59	9	9	9	1	2014/04/01-09:20:59
2014/04/01-09:22:09	9	9	9	1	2014/04/01-09:20:59
2014/04/01-09:22:19	9	9	9	1	2014/04/01-09:20:59
2014/04/01-09:22:29	9	9	9	1	2014/04/01-09:20:59
2014/04/01-09:22:39	9	9	9	1	2014/04/01-09:20:59
2014/04/01-09:22:49	9	9	9	0	2014/04/01-09:20:59
2014/04/01-09:22:59	12	12	12	1	2014/04/01-09:20:59
2014/04/01-09:23:09	15	15	15	1	2014/04/01-09:20:59
2014/04/01-09:23:19	15	15	15	1	2014/04/01-09:20:59
2014/04/01-09:23:29	16	16	16	1	2014/04/01-09:20:59
