Timestamp	Value	Min	Max	Avg	StartTimestamp
2014/04/01-06:44:36	0	-1	-1	-1	2014/04/01-06:44:36
2014/04/01-06:44:36	0	-1	-1	-1	2014/04/01-06:44:36
2014/04/01-06:44:57	1	1	1	0	2014/04/01-06:44:36
2014/04/01-06:44:57	1	1	1	0	2014/04/01-06:44:36
2014/04/01-06:44:57	1	1	1	0	2014/04/01-06:44:36
2014/04/01-06:46:03	0	-1	-1	-1	2014/04/01-06:46:03
2014/04/01-06:46:22	32	32	32	32	2014/04/01-06:46:03
2014/04/01-06:46:32	479	479	479	239	2014/04/01-06:46:03
2014/04/01-06:46:42	921	921	921	307	2014/04/01-06:46:03
2014/04/01-06:47:16	0	-1	-1	-1	2014/04/01-06:47:16
2014/04/01-06:47:31	1	1	1	1	2014/04/01-06:47:16
2014/04/01-06:47:45	218	218	218	109	2014/04/01-06:47:16
2014/04/01-06:47:55	661	661	661	220	2014/04/01-06:47:16
2014/04/01-06:52:05	0	-1	-1	-1	2014/04/01-06:52:05
2014/04/01-06:52:05	0	-1	-1	-1	2014/04/01-06:52:05
2014/04/01-06:52:05	0	-1	-1	-1	2014/04/01-06:52:05
2014/04/01-06:52:35	1	1	1	0	2014/04/01-06:52:05
2014/04/01-06:52:35	1	1	1	0	2014/04/01-06:52:05
2014/04/01-06:53:03	12	12	12	2	2014/04/01-06:52:05
2014/04/01-06:53:46	0	-1	-1	-1	2014/04/01-06:53:46
2014/04/01-06:54:05	25	25	25	25	2014/04/01-06:53:46
2014/04/01-06:54:15	71	71	71	35	2014/04/01-06:53:46
2014/04/01-06:56:46	0	-1	-1	-1	2014/04/01-06:56:46
2014/04/01-06:56:46	0	-1	-1	-1	2014/04/01-06:56:46
2014/04/01-06:57:31	0	-1	-1	-1	2014/04/01-06:57:31
2014/04/01-06:58:02	0	-1	-1	-1	2014/04/01-06:58:02
2014/04/01-06:58:22	927	927	927	927	2014/04/01-06:58:02
2014/04/01-06:58:32	3699	3699	3699	1849	2014/04/01-06:58:02
2014/04/01-06:58:42	6548	6548	6548	2182	2014/04/01-06:58:02
2014/04/01-06:58:52	9348	9348	9348	2337	2014/04/01-06:58:02
2014/04/01-06:59:02	12219	12219	12219	2443	2014/04/01-06:58:02
2014/04/01-06:59:12	14752	14752	14752	2458	2014/04/01-06:58:02
2014/04/01-06:59:22	17639	17639	17639	2519	2014/04/01-06:58:02
2014/04/01-06:59:32	20470	20470	20470	2558	2014/04/01-06:58:02
2014/04/01-06:59:32	20523	20523	20523	2280	2014/04/01-06:58:02
2014/04/01-06:59:32	20523	20523	20523	2052	2014/04/01-06:58:02
2014/04/01-06:59:32	20523	20523	20523	1865	2014/04/01-06:58:02
2014/04/01-06:59:32	20523	20523	20523	1710	2014/04/01-06:58:02
2014/04/01-06:59:32	20523	20523	20523	1578	2014/04/01-06:58:02
2014/04/01-06:59:32	20523	20523	20523	1465	2014/04/01-06:58:02
