Timestamp	Value	Min	Max	Avg	StartTimestamp
2014/04/01-06:44:35	0	-1	-1	-1	2014/04/01-06:44:35
2014/04/01-06:44:55	0	0	0	0	2014/04/01-06:44:35
2014/04/01-06:45:05	2	0	2	2	2014/04/01-06:44:35
2014/04/01-06:45:15	0	0	0	0	2014/04/01-06:44:35
2014/04/01-06:45:25	2	0	2	2	2014/04/01-06:44:35
2014/04/01-06:46:02	0	-1	-1	-1	2014/04/01-06:46:02
2014/04/01-06:46:22	0	0	0	0	2014/04/01-06:46:02
2014/04/01-06:46:32	20	0	20	20	2014/04/01-06:46:02
2014/04/01-06:46:42	11	0	11	11	2014/04/01-06:46:02
2014/04/01-06:47:15	0	-1	-1	-1	2014/04/01-06:47:15
2014/04/01-06:47:35	0	0	0	0	2014/04/01-06:47:15
2014/04/01-06:47:45	0	0	0	0	2014/04/01-06:47:15
2014/04/01-06:47:55	16	0	16	16	2014/04/01-06:47:15
2014/04/01-06:52:02	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:52:23	0	0	0	0	2014/04/01-06:52:02
2014/04/01-06:52:33	0	0	0	0	2014/04/01-06:52:02
2014/04/01-06:52:43	1	0	1	1	2014/04/01-06:52:02
2014/04/01-06:52:53	0	0	0	0	2014/04/01-06:52:02
2014/04/01-06:53:03	0	0	0	0	2014/04/01-06:52:02
2014/04/01-06:53:45	0	-1	-1	-1	2014/04/01-06:53:45
2014/04/01-06:54:05	0	0	0	0	2014/04/01-06:53:45
2014/04/01-06:54:15	2	0	2	2	2014/04/01-06:53:45
2014/04/01-06:56:46	0	-1	-1	-1	2014/04/01-06:56:46
2014/04/01-06:57:06	0	0	0	0	2014/04/01-06:56:46
2014/04/01-06:57:30	0	-1	-1	-1	2014/04/01-06:57:30
2014/04/01-06:58:02	0	-1	-1	-1	2014/04/01-06:58:02
2014/04/01-06:58:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-06:58:32	218	0	218	218	2014/04/01-06:58:02
2014/04/01-06:58:42	109	0	109	109	2014/04/01-06:58:02
2014/04/01-06:58:52	113	0	113	113	2014/04/01-06:58:02
2014/04/01-06:59:02	112	0	112	112	2014/04/01-06:58:02
2014/04/01-06:59:12	113	0	113	113	2014/04/01-06:58:02
2014/04/01-06:59:22	109	0	109	109	2014/04/01-06:58:02
2014/04/01-06:59:32	111	0	111	111	2014/04/01-06:58:02
2014/04/01-06:59:42	56	0	56	56	2014/04/01-06:58:02
2014/04/01-06:59:52	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:00:02	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:00:12	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:00:22	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:00:32	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:00:42	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:00:52	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:01:02	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:01:12	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:01:22	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:01:32	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:01:42	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:01:52	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:02:02	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:02:12	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:02:22	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:02:32	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:02:42	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:02:52	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:03:02	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:03:12	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:03:22	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:03:32	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:03:42	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:03:52	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:04:02	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:04:12	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:04:22	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:04:32	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:04:42	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:04:52	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:05:02	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:05:12	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:05:22	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:05:32	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:05:42	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:05:52	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:06:02	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:06:12	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:06:22	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:06:32	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:06:42	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:06:52	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:07:12	26	0	26	13	2014/04/01-06:58:02
2014/04/01-07:07:32	26	0	26	13	2014/04/01-06:58:02
2014/04/01-07:07:42	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:07:52	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:08:02	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:08:12	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:08:22	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:08:32	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:08:42	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:08:52	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:09:02	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:09:12	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:09:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-07:09:32	26	0	26	26	2014/04/01-06:58:02
2014/04/01-07:09:42	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:09:52	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:10:02	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:10:12	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:10:22	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:10:32	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:10:42	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:10:52	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:11:02	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:11:12	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:11:22	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:11:32	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:11:42	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:11:52	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:12:02	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:12:12	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:12:22	13	0	0	13	2014/04/01-06:58:02
2014/04/01-07:12:42	26	0	26	13	2014/04/01-06:58:02
2014/04/01-07:13:02	26	0	26	13	2014/04/01-06:58:02
2014/04/01-07:13:22	26	0	26	13	2014/04/01-06:58:02
2014/04/01-07:13:32	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:13:42	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:13:52	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:14:02	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:14:22	26	0	26	13	2014/04/01-06:58:02
2014/04/01-07:14:42	26	0	26	13	2014/04/01-06:58:02
2014/04/01-07:15:02	26	0	26	13	2014/04/01-06:58:02
2014/04/01-07:15:12	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:15:32	26	0	26	13	2014/04/01-06:58:02
2014/04/01-07:15:52	26	0	26	13	2014/04/01-06:58:02
2014/04/01-07:16:12	26	0	26	13	2014/04/01-06:58:02
2014/04/01-07:16:22	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:16:32	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:16:42	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:16:52	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:17:02	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:17:12	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:17:22	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:17:32	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:17:42	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:17:52	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:18:02	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:18:12	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:18:22	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:18:32	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:18:43	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:18:53	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:19:03	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:19:13	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:19:23	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:19:33	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:19:43	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:19:53	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:20:03	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:20:13	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:20:23	13	0	13	13	2014/04/01-06:58:02
2014/04/01-07:21:45	0	-1	-1	-1	2014/04/01-07:21:45
2014/04/01-07:22:05	0	0	0	0	2014/04/01-07:21:45
2014/04/01-07:22:15	2	0	2	2	2014/04/01-07:21:45
2014/04/01-07:22:25	110	0	110	110	2014/04/01-07:21:45
2014/04/01-07:26:27	0	-1	-1	-1	2014/04/01-07:26:27
2014/04/01-07:26:47	0	0	0	0	2014/04/01-07:26:27
2014/04/01-07:26:57	0	0	0	0	2014/04/01-07:26:27
2014/04/01-07:27:07	0	0	0	0	2014/04/01-07:26:27
2014/04/01-07:27:17	0	0	0	0	2014/04/01-07:26:27
2014/04/01-07:28:17	0	-1	-1	-1	2014/04/01-07:28:17
2014/04/01-07:28:37	0	0	0	0	2014/04/01-07:28:17
2014/04/01-07:28:47	0	0	0	0	2014/04/01-07:28:17
2014/04/01-07:28:57	216	0	216	216	2014/04/01-07:28:17
2014/04/01-07:29:18	0	-1	-1	-1	2014/04/01-07:29:18
2014/04/01-07:29:38	0	0	0	0	2014/04/01-07:29:18
2014/04/01-07:29:48	0	0	0	0	2014/04/01-07:29:18
2014/04/01-07:29:58	0	0	0	0	2014/04/01-07:29:18
2014/04/01-07:30:08	200	0	200	200	2014/04/01-07:29:18
2014/04/01-07:30:18	202	0	202	202	2014/04/01-07:29:18
2014/04/01-07:30:28	196	0	196	196	2014/04/01-07:29:18
2014/04/01-07:30:38	0	0	0	0	2014/04/01-07:29:18
2014/04/01-07:30:48	400	0	400	400	2014/04/01-07:29:18
2014/04/01-07:30:58	2	0	2	2	2014/04/01-07:29:18
2014/04/01-07:31:08	2	0	2	2	2014/04/01-07:29:18
2014/04/01-07:44:51	0	-1	-1	-1	2014/04/01-07:44:51
2014/04/01-07:45:11	0	0	0	0	2014/04/01-07:44:51
2014/04/01-07:45:21	0	0	0	0	2014/04/01-07:44:51
2014/04/01-07:45:31	0	0	0	0	2014/04/01-07:44:51
2014/04/01-07:45:41	0	0	0	0	2014/04/01-07:44:51
2014/04/01-07:55:35	0	-1	-1	-1	2014/04/01-07:55:35
2014/04/01-07:55:55	0	0	0	0	2014/04/01-07:55:35
2014/04/01-07:56:29	0	-1	-1	-1	2014/04/01-07:56:19
