Timestamp	RunCount	RunAvg	Value	Min	Max	Avg	StartTimestamp
2014/04/01-06:44:35	0	0	0	-1	-1	-1	2014/04/01-06:44:35
2014/04/01-06:44:35	0	0	0	-1	-1	-1	2014/04/01-06:44:35
2014/04/01-06:44:35	0	0	0	-1	-1	-1	2014/04/01-06:44:35
2014/04/01-06:44:35	0	0	0	-1	-1	-1	2014/04/01-06:44:35
2014/04/01-06:44:35	0	0	0	-1	-1	-1	2014/04/01-06:44:35
2014/04/01-06:46:02	0	0	0	-1	-1	-1	2014/04/01-06:46:02
2014/04/01-06:46:02	0	0	0	-1	-1	-1	2014/04/01-06:46:02
2014/04/01-06:46:02	0	0	0	-1	-1	-1	2014/04/01-06:46:02
2014/04/01-06:46:02	0	0	0	-1	-1	-1	2014/04/01-06:46:02
2014/04/01-06:47:15	0	0	0	-1	-1	-1	2014/04/01-06:47:15
2014/04/01-06:47:15	0	0	0	-1	-1	-1	2014/04/01-06:47:15
2014/04/01-06:47:15	0	0	0	-1	-1	-1	2014/04/01-06:47:15
2014/04/01-06:47:15	0	0	0	-1	-1	-1	2014/04/01-06:47:15
2014/04/01-06:52:02	0	0	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:52:02	0	0	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:52:02	0	0	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:52:02	0	0	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:52:02	0	0	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:52:02	0	0	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:53:45	0	0	0	-1	-1	-1	2014/04/01-06:53:45
2014/04/01-06:53:45	0	0	0	-1	-1	-1	2014/04/01-06:53:45
2014/04/01-06:53:45	0	0	0	-1	-1	-1	2014/04/01-06:53:45
2014/04/01-06:56:46	0	0	0	-1	-1	-1	2014/04/01-06:56:46
2014/04/01-06:56:46	0	0	0	-1	-1	-1	2014/04/01-06:56:46
2014/04/01-06:57:30	0	0	0	-1	-1	-1	2014/04/01-06:57:30
2014/04/01-06:58:02	0	0	0	-1	-1	-1	2014/04/01-06:58:02
2014/04/01-06:58:02	0	0	0	-1	-1	-1	2014/04/01-06:58:02
