Timestamp	Value	Min	Max	Avg	StartTimestamp
2014/04/01-06:44:35	0	-1	-1	-1	2014/04/01-06:44:35
2014/04/01-06:44:35	0	-1	-1	-1	2014/04/01-06:44:35
2014/04/01-06:44:35	0	-1	-1	-1	2014/04/01-06:44:35
2014/04/01-06:44:35	0	-1	-1	-1	2014/04/01-06:44:35
2014/04/01-06:44:35	0	-1	-1	-1	2014/04/01-06:44:35
2014/04/01-06:46:02	0	-1	-1	-1	2014/04/01-06:46:02
2014/04/01-06:46:19	9	9	9	4	2014/04/01-06:46:02
2014/04/01-06:46:19	9	9	9	3	2014/04/01-06:46:02
2014/04/01-06:46:19	9	9	9	2	2014/04/01-06:46:02
2014/04/01-06:47:15	0	-1	-1	-1	2014/04/01-06:47:15
2014/04/01-06:47:15	0	-1	-1	-1	2014/04/01-06:47:15
2014/04/01-06:47:15	0	-1	-1	-1	2014/04/01-06:47:15
2014/04/01-06:47:15	0	-1	-1	-1	2014/04/01-06:47:15
2014/04/01-06:52:02	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:52:02	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:52:02	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:52:02	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:52:02	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:52:02	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:53:45	0	-1	-1	-1	2014/04/01-06:53:45
2014/04/01-06:53:45	0	-1	-1	-1	2014/04/01-06:53:45
2014/04/01-06:53:45	0	-1	-1	-1	2014/04/01-06:53:45
2014/04/01-06:56:46	0	-1	-1	-1	2014/04/01-06:56:46
2014/04/01-06:57:05	2	2	2	1	2014/04/01-06:56:46
2014/04/01-06:57:30	0	-1	-1	-1	2014/04/01-06:57:30
2014/04/01-06:58:02	0	-1	-1	-1	2014/04/01-06:58:02
2014/04/01-06:58:16	48	48	48	24	2014/04/01-06:58:02
2014/04/01-06:58:16	48	48	48	16	2014/04/01-06:58:02
2014/04/01-06:58:16	48	48	48	12	2014/04/01-06:58:02
2014/04/01-06:58:16	48	48	48	9	2014/04/01-06:58:02
2014/04/01-06:58:16	48	48	48	8	2014/04/01-06:58:02
2014/04/01-06:58:16	48	48	48	6	2014/04/01-06:58:02
2014/04/01-06:58:16	48	48	48	6	2014/04/01-06:58:02
2014/04/01-06:59:32	92	92	92	10	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	13	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	12	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	11	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	10	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	9	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	8	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	8	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	7	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	7	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	7	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	6	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	6	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	6	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	5	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	5	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	5	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	5	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	4	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	4	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	4	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	4	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	4	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	4	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	4	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	3	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	3	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	3	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	3	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	3	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	3	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	3	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	3	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	3	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	3	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	3	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	2	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	1	2014/04/01-06:58:02
2014/04/01-06:59:32	133	133	133	0	2014/04/01-06:58:02
2014/04/01-07:21:45	0	-1	-1	-1	2014/04/01-07:21:45
2014/04/01-07:21:45	0	-1	-1	-1	2014/04/01-07:21:45
2014/04/01-07:21:45	0	-1	-1	-1	2014/04/01-07:21:45
2014/04/01-07:21:45	0	-1	-1	-1	2014/04/01-07:21:45
2014/04/01-07:26:27	0	-1	-1	-1	2014/04/01-07:26:27
2014/04/01-07:26:27	0	-1	-1	-1	2014/04/01-07:26:27
2014/04/01-07:26:53	2	2	2	0	2014/04/01-07:26:27
2014/04/01-07:26:53	2	2	2	0	2014/04/01-07:26:27
2014/04/01-07:26:53	2	2	2	0	2014/04/01-07:26:27
2014/04/01-07:28:17	0	-1	-1	-1	2014/04/01-07:28:17
2014/04/01-07:28:17	0	-1	-1	-1	2014/04/01-07:28:17
2014/04/01-07:28:17	0	-1	-1	-1	2014/04/01-07:28:17
2014/04/01-07:28:57	87	87	87	21	2014/04/01-07:28:17
2014/04/01-07:29:18	0	-1	-1	-1	2014/04/01-07:29:18
2014/04/01-07:29:18	0	-1	-1	-1	2014/04/01-07:29:18
2014/04/01-07:29:18	0	-1	-1	-1	2014/04/01-07:29:18
2014/04/01-07:29:18	0	-1	-1	-1	2014/04/01-07:29:18
2014/04/01-07:29:18	0	-1	-1	-1	2014/04/01-07:29:18
2014/04/01-07:29:18	0	-1	-1	-1	2014/04/01-07:29:18
2014/04/01-07:29:18	0	-1	-1	-1	2014/04/01-07:29:18
2014/04/01-07:29:18	0	-1	-1	-1	2014/04/01-07:29:18
2014/04/01-07:30:46	190	190	190	21	2014/04/01-07:29:18
2014/04/01-07:30:46	190	190	190	19	2014/04/01-07:29:18
2014/04/01-07:30:46	190	190	190	17	2014/04/01-07:29:18
2014/04/01-07:44:51	0	-1	-1	-1	2014/04/01-07:44:51
2014/04/01-07:44:51	0	-1	-1	-1	2014/04/01-07:44:51
2014/04/01-07:44:51	0	-1	-1	-1	2014/04/01-07:44:51
2014/04/01-07:44:51	0	-1	-1	-1	2014/04/01-07:44:51
2014/04/01-07:44:51	0	-1	-1	-1	2014/04/01-07:44:51
2014/04/01-07:55:35	0	-1	-1	-1	2014/04/01-07:55:35
2014/04/01-07:55:55	1	1	1	0	2014/04/01-07:55:35
2014/04/01-07:56:19	0	-1	-1	-1	2014/04/01-07:56:19
2014/04/01-07:56:19	0	-1	-1	-1	2014/04/01-07:56:19
2014/04/01-07:58:10	0	-1	-1	-1	2014/04/01-07:58:10
2014/04/01-07:58:43	0	-1	-1	-1	2014/04/01-07:58:43
2014/04/01-07:58:43	0	-1	-1	-1	2014/04/01-07:58:43
2014/04/01-08:53:13	0	-1	-1	-1	2014/04/01-08:53:13
2014/04/01-08:53:13	0	-1	-1	-1	2014/04/01-08:53:13
2014/04/01-08:53:13	0	-1	-1	-1	2014/04/01-08:53:13
2014/04/01-08:53:13	0	-1	-1	-1	2014/04/01-08:53:13
2014/04/01-08:53:13	0	-1	-1	-1	2014/04/01-08:53:13
2014/04/01-08:54:24	0	-1	-1	-1	2014/04/01-08:54:24
2014/04/01-08:54:24	0	-1	-1	-1	2014/04/01-08:54:24
2014/04/01-08:55:12	0	-1	-1	-1	2014/04/01-08:55:12
2014/04/01-08:55:12	0	-1	-1	-1	2014/04/01-08:55:12
2014/04/01-08:56:35	0	-1	-1	-1	2014/04/01-08:56:35
2014/04/01-08:56:35	0	-1	-1	-1	2014/04/01-08:56:35
2014/04/01-08:56:35	0	-1	-1	-1	2014/04/01-08:56:35
2014/04/01-08:56:35	0	-1	-1	-1	2014/04/01-08:56:35
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:20:59	0	-1	-1	-1	2014/04/01-09:20:59
2014/04/01-09:23:30	3	3	3	0	2014/04/01-09:20:59
2014/04/01-09:23:30	3	3	3	0	2014/04/01-09:20:59
2014/04/01-09:23:30	3	3	3	0	2014/04/01-09:20:59
2014/04/01-09:23:30	3	3	3	0	2014/04/01-09:20:59
2014/04/01-09:23:30	3	3	3	0	2014/04/01-09:20:59
2014/04/01-09:23:30	3	3	3	0	2014/04/01-09:20:59
2014/04/01-09:23:30	3	3	3	0	2014/04/01-09:20:59
2014/04/01-09:23:30	3	3	3	0	2014/04/01-09:20:59
