Timestamp	Value	Min	Max	Avg	StartTimestamp
2014/04/01-06:44:45	0	0	0	0	2014/04/01-06:44:35
2014/04/01-06:44:55	0	0	0	0	2014/04/01-06:44:35
2014/04/01-06:45:05	2	2	2	0	2014/04/01-06:44:35
2014/04/01-06:45:15	68	68	68	17	2014/04/01-06:44:35
2014/04/01-06:45:25	97	97	97	19	2014/04/01-06:44:35
2014/04/01-06:46:12	0	0	0	0	2014/04/01-06:46:02
2014/04/01-06:46:22	0	0	0	0	2014/04/01-06:46:02
2014/04/01-06:46:32	2922	2922	2922	974	2014/04/01-06:46:02
2014/04/01-06:46:42	5591	5591	5591	1397	2014/04/01-06:46:02
2014/04/01-06:47:25	0	0	0	0	2014/04/01-06:47:15
2014/04/01-06:47:35	0	0	0	0	2014/04/01-06:47:15
2014/04/01-06:47:45	14	14	14	4	2014/04/01-06:47:15
2014/04/01-06:47:55	1348	1348	1348	337	2014/04/01-06:47:15
2014/04/01-06:52:13	0	0	0	0	2014/04/01-06:52:02
2014/04/01-06:52:23	0	0	0	0	2014/04/01-06:52:02
2014/04/01-06:52:33	0	0	0	0	2014/04/01-06:52:02
2014/04/01-06:52:43	2	2	2	0	2014/04/01-06:52:02
2014/04/01-06:52:53	50	50	50	10	2014/04/01-06:52:02
2014/04/01-06:53:03	131	131	131	21	2014/04/01-06:52:02
2014/04/01-06:53:55	0	0	0	0	2014/04/01-06:53:45
2014/04/01-06:54:05	0	0	0	0	2014/04/01-06:53:45
2014/04/01-06:54:15	165	165	165	55	2014/04/01-06:53:45
2014/04/01-06:56:56	0	0	0	0	2014/04/01-06:56:46
2014/04/01-06:57:06	0	0	0	0	2014/04/01-06:56:46
2014/04/01-06:57:40	0	0	0	0	2014/04/01-06:57:30
2014/04/01-06:58:12	0	0	0	0	2014/04/01-06:58:02
2014/04/01-06:58:22	0	0	0	0	2014/04/01-06:58:02
2014/04/01-06:58:32	22674	22674	22674	7558	2014/04/01-06:58:02
2014/04/01-06:58:42	22674	22674	22674	5668	2014/04/01-06:58:02
2014/04/01-06:58:52	56587	56587	56587	11317	2014/04/01-06:58:02
2014/04/01-06:59:02	73750	73750	73750	12291	2014/04/01-06:58:02
2014/04/01-06:59:12	73750	73750	73750	10535	2014/04/01-06:58:02
2014/04/01-06:59:22	89006	89006	89006	11125	2014/04/01-06:58:02
2014/04/01-06:59:32	106336	106336	106336	11815	2014/04/01-06:58:02
2014/04/01-06:59:42	123193	123193	123193	12319	2014/04/01-06:58:02
2014/04/01-06:59:52	123234	123234	123234	11203	2014/04/01-06:58:02
2014/04/01-07:00:02	123234	123234	123234	10269	2014/04/01-06:58:02
2014/04/01-07:00:12	123234	123234	123234	9479	2014/04/01-06:58:02
2014/04/01-07:00:22	123234	123234	123234	8802	2014/04/01-06:58:02
2014/04/01-07:00:32	123234	123234	123234	8215	2014/04/01-06:58:02
2014/04/01-07:00:42	123234	123234	123234	7702	2014/04/01-06:58:02
2014/04/01-07:00:52	123234	123234	123234	7249	2014/04/01-06:58:02
2014/04/01-07:01:02	123234	123234	123234	6846	2014/04/01-06:58:02
2014/04/01-07:01:12	123234	123234	123234	6486	2014/04/01-06:58:02
2014/04/01-07:01:22	123234	123234	123234	6161	2014/04/01-06:58:02
2014/04/01-07:01:32	123234	123234	123234	5868	2014/04/01-06:58:02
2014/04/01-07:01:42	123234	123234	123234	5601	2014/04/01-06:58:02
2014/04/01-07:01:52	123234	123234	123234	5358	2014/04/01-06:58:02
2014/04/01-07:02:02	123234	123234	123234	5134	2014/04/01-06:58:02
2014/04/01-07:02:12	123234	123234	123234	4929	2014/04/01-06:58:02
2014/04/01-07:02:22	123234	123234	123234	4739	2014/04/01-06:58:02
