Timestamp	RunCount	RunAvg	Value	Min	Max	Avg	StartTimestamp
2014/04/01-06:44:35	0	0	0	-1	-1	-1	2014/04/01-06:44:35
2014/04/01-06:44:45	1	0	68	68	68	34	2014/04/01-06:44:35
2014/04/01-06:44:55	2	0	115	115	115	38	2014/04/01-06:44:35
2014/04/01-06:45:05	3	0	144	144	144	36	2014/04/01-06:44:35
2014/04/01-06:45:15	4	0	176	176	176	35	2014/04/01-06:44:35
2014/04/01-06:46:02	0	0	0	-1	-1	-1	2014/04/01-06:46:02
2014/04/01-06:46:12	1	0	42	42	42	21	2014/04/01-06:46:02
2014/04/01-06:46:22	2	0	75	75	75	25	2014/04/01-06:46:02
2014/04/01-06:46:32	3	0	108	108	108	27	2014/04/01-06:46:02
2014/04/01-06:47:15	0	0	0	-1	-1	-1	2014/04/01-06:47:15
2014/04/01-06:47:25	1	0	48	48	48	24	2014/04/01-06:47:15
2014/04/01-06:47:35	2	0	80	80	80	26	2014/04/01-06:47:15
2014/04/01-06:47:45	3	0	114	114	114	28	2014/04/01-06:47:15
2014/04/01-06:52:02	0	0	0	-1	-1	-1	2014/04/01-06:52:02
2014/04/01-06:52:13	1	0	61	61	61	30	2014/04/01-06:52:02
2014/04/01-06:52:23	2	0	208	208	208	69	2014/04/01-06:52:02
2014/04/01-06:52:33	3	0	414	414	414	103	2014/04/01-06:52:02
2014/04/01-06:52:43	4	0	449	449	449	89	2014/04/01-06:52:02
2014/04/01-06:52:53	5	0	484	484	484	80	2014/04/01-06:52:02
2014/04/01-06:53:45	0	0	0	-1	-1	-1	2014/04/01-06:53:45
2014/04/01-06:53:55	1	0	54	54	54	27	2014/04/01-06:53:45
2014/04/01-06:54:05	2	0	91	91	91	30	2014/04/01-06:53:45
2014/04/01-06:56:46	0	0	0	-1	-1	-1	2014/04/01-06:56:46
2014/04/01-06:56:56	1	0	58	58	58	29	2014/04/01-06:56:46
2014/04/01-06:57:30	0	0	0	-1	-1	-1	2014/04/01-06:57:30
2014/04/01-06:58:02	0	0	0	-1	-1	-1	2014/04/01-06:58:02
2014/04/01-06:58:12	1	0	47	47	47	23	2014/04/01-06:58:02
2014/04/01-06:58:22	2	0	194	194	194	64	2014/04/01-06:58:02
2014/04/01-06:58:32	3	0	288	288	288	72	2014/04/01-06:58:02
2014/04/01-06:58:42	4	0	387	387	387	77	2014/04/01-06:58:02
2014/04/01-06:58:52	5	0	505	505	505	84	2014/04/01-06:58:02
2014/04/01-06:59:02	6	0	606	606	606	86	2014/04/01-06:58:02
2014/04/01-06:59:12	7	0	710	710	710	88	2014/04/01-06:58:02
2014/04/01-06:59:22	8	0	814	814	814	90	2014/04/01-06:58:02
2014/04/01-06:59:32	9	0	874	874	874	87	2014/04/01-06:58:02
2014/04/01-06:59:42	10	0	914	914	914	83	2014/04/01-06:58:02
2014/04/01-06:59:52	11	0	954	954	954	79	2014/04/01-06:58:02
2014/04/01-07:00:02	12	0	994	994	994	76	2014/04/01-06:58:02
2014/04/01-07:00:12	13	0	1035	1035	1035	73	2014/04/01-06:58:02
2014/04/01-07:00:22	14	0	1076	1076	1076	71	2014/04/01-06:58:02
2014/04/01-07:00:32	15	0	1117	1117	1117	69	2014/04/01-06:58:02
2014/04/01-07:00:42	16	0	1159	1159	1159	68	2014/04/01-06:58:02
2014/04/01-07:00:52	17	0	1204	1204	1204	66	2014/04/01-06:58:02
2014/04/01-07:01:02	18	0	1246	1246	1246	65	2014/04/01-06:58:02
2014/04/01-07:01:12	19	0	1290	1290	1290	64	2014/04/01-06:58:02
2014/04/01-07:01:22	20	0	1334	1334	1334	63	2014/04/01-06:58:02
2014/04/01-07:01:32	21	0	1377	1377	1377	62	2014/04/01-06:58:02
2014/04/01-07:01:42	22	0	1420	1420	1420	61	2014/04/01-06:58:02
2014/04/01-07:01:52	23	0	1463	1463	1463	60	2014/04/01-06:58:02
2014/04/01-07:02:02	24	0	1509	1509	1509	60	2014/04/01-06:58:02
2014/04/01-07:02:12	25	0	1552	1552	1552	59	2014/04/01-06:58:02
2014/04/01-07:02:22	26	0	1599	1599	1599	59	2014/04/01-06:58:02
2014/04/01-07:02:32	27	0	1647	1647	1647	58	2014/04/01-06:58:02
2014/04/01-07:02:42	28	0	1691	1691	1691	58	2014/04/01-06:58:02
2014/04/01-07:02:52	29	0	1735	1735	1735	57	2014/04/01-06:58:02
2014/04/01-07:03:02	30	0	1780	1780	1780	57	2014/04/01-06:58:02
2014/04/01-07:03:12	31	0	1826	1826	1826	57	2014/04/01-06:58:02
2014/04/01-07:03:22	32	0	1871	1871	1871	56	2014/04/01-06:58:02
2014/04/01-07:03:32	33	0	1917	1917	1917	56	2014/04/01-06:58:02
2014/04/01-07:03:42	34	0	1962	1962	1962	56	2014/04/01-06:58:02
2014/04/01-07:03:52	35	0	2011	2011	2011	55	2014/04/01-06:58:02
2014/04/01-07:04:02	36	0	2060	2060	2060	55	2014/04/01-06:58:02
2014/04/01-07:04:12	37	0	2108	2108	2108	55	2014/04/01-06:58:02
2014/04/01-07:04:22	38	0	2155	2155	2155	55	2014/04/01-06:58:02
2014/04/01-07:04:32	39	0	2202	2202	2202	55	2014/04/01-06:58:02
2014/04/01-07:04:42	40	0	2253	2253	2253	54	2014/04/01-06:58:02
2014/04/01-07:04:52	41	0	2301	2301	2301	54	2014/04/01-06:58:02
2014/04/01-07:05:02	42	0	2350	2350	2350	54	2014/04/01-06:58:02
2014/04/01-07:05:12	43	0	2404	2404	2404	54	2014/04/01-06:58:02
2014/04/01-07:05:22	44	0	2454	2454	2454	54	2014/04/01-06:58:02
2014/04/01-07:05:32	45	0	2507	2507	2507	54	2014/04/01-06:58:02
2014/04/01-07:05:42	46	0	2559	2559	2559	54	2014/04/01-06:58:02
2014/04/01-07:05:52	47	0	2614	2614	2614	54	2014/04/01-06:58:02
2014/04/01-07:06:02	48	0	2668	2668	2668	54	2014/04/01-06:58:02
2014/04/01-07:06:12	49	0	2721	2721	2721	54	2014/04/01-06:58:02
2014/04/01-07:06:22	50	0	2773	2773	2773	54	2014/04/01-06:58:02
2014/04/01-07:06:32	51	0	2824	2824	2824	54	2014/04/01-06:58:02
2014/04/01-07:06:50	52	0	10872	10872	10872	205	2014/04/01-06:58:02
2014/04/01-07:07:06	53	0	24656	24656	24656	448	2014/04/01-06:58:02
2014/04/01-07:07:27	54	0	39601	39601	39601	694	2014/04/01-06:58:02
2014/04/01-07:07:40	55	0	47624	47624	47624	821	2014/04/01-06:58:02
2014/04/01-07:07:42	56	0	47684	47684	47684	808	2014/04/01-06:58:02
2014/04/01-07:07:52	57	0	47736	47736	47736	795	2014/04/01-06:58:02
2014/04/01-07:08:02	58	0	47789	47789	47789	783	2014/04/01-06:58:02
2014/04/01-07:08:12	59	0	47977	47977	47977	773	2014/04/01-06:58:02
2014/04/01-07:08:22	60	0	48031	48031	48031	762	2014/04/01-06:58:02
2014/04/01-07:08:32	61	0	48081	48081	48081	751	2014/04/01-06:58:02
2014/04/01-07:08:42	62	0	48145	48145	48145	740	2014/04/01-06:58:02
2014/04/01-07:08:53	63	0	48865	48865	48865	740	2014/04/01-06:58:02
2014/04/01-07:09:02	64	0	49211	49211	49211	734	2014/04/01-06:58:02
2014/04/01-07:09:12	65	0	49268	49268	49268	724	2014/04/01-06:58:02
2014/04/01-07:09:22	66	0	49341	49341	49341	715	2014/04/01-06:58:02
2014/04/01-07:09:32	67	0	49406	49406	49406	705	2014/04/01-06:58:02
2014/04/01-07:09:42	68	0	49718	49718	49718	700	2014/04/01-06:58:02
2014/04/01-07:09:52	69	0	49778	49778	49778	691	2014/04/01-06:58:02
2014/04/01-07:10:02	70	0	49849	49849	49849	682	2014/04/01-06:58:02
2014/04/01-07:10:12	71	0	49904	49904	49904	674	2014/04/01-06:58:02
2014/04/01-07:10:22	72	0	49989	49989	49989	666	2014/04/01-06:58:02
2014/04/01-07:10:32	73	0	50090	50090	50090	659	2014/04/01-06:58:02
